playerId,player,position,team,conference,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR
4426420,Devyn Ford,RB,Notre Dame,FBS Independents,,11.5,13,,,,1,,,14611,1,2,,0,,0,02,0,0,,0000,0,1,,,23655,,4.2,,3.0
4426421,Ryland Goede,TE,Georgia Tech,ACC,,8.0,,,,,,,,1225,,2,,0,,0,5,0,1,,000,0,1,,,1668,,,,13.6
4426424,Trejan Bridges,WR,Central Arkansas,UAC,,0.010.4,,,,,2,,,05950,0,119,,0,,0,047,0,0,,0015,0,1,,,0198646,,,,13.7
4426427,Raymond Woodie III,DB,Bethune-Cookman,SWAC,,-9.0,,,,,,1,,,,,,0,,0,,0,3,,00,0,9,,,-9,,,,
4426428,Sean Dollars,RB,Nevada,Mountain West,,7.3,47,,,,4,,,131726,3,4,,1,,0,011,0,0,,0000,0,0,,,2974165,,3.5,,6.7
4426429,Travis Jay,S,Colorado,Big 12,,,,,,,,,,,,,,0,,0,,0,3,,0,0,4,,,,,,,
4426430,Taisun Phommachanh,QB,Massachusetts,FBS Independents,234,,107,132,,,4,6,,33,1,,0.564,0,,0,0,0,0,,083,0,1,,,1590317,6.8,3.0,,
4426433,Osita Ekwonu,LB,Charlotte,American Athletic,,0.0,,,,,,1,,,,,,0,,0,,0,6,,00,0,20,,,0,,,,
4426444,Connor Bazelak,QB,Bowling Green,Mid-American,353,,45,237,,,3,5,,19,1,,0.671,,,,0,,,,152,,,,,2654-79,7.5,-1.8,,
4426445,Quashon Fuller,DL,Maryland,Big Ten,,,,,,,0,,,,0,,,1,,0,1,2,14,,0,3.5,28,,,,,,,
4426452,Curtis Fann Jr.,DL,Western Carolina,Southern,,,,,,,,,,,,,,0,,0,,0,0,,0,0,1,,,,,,,
4426454,Lance LeGendre,WR,Louisiana,Sun Belt,,,1,,,,1,,,4810,0,,,,,,048,,,,60,,,,,81410,,10.0,,17.0
4426459,Chase Lane,WR,Georgia Tech,ACC,,,,,,,,,,32,,,,,,,21,,,,3,,,,,256,,,,12.2
4426460,Jackson Lowe,TE,Incarnate Word,Southland,,,,,,,,,,17,,,,,,,7,,,,3,,,,,68,,,,9.7
4426463,Dannis Jackson,WR,Southern Miss,Sun Belt,,,2,,,,,,,478,,,,,,,11,,,,00,,,,,21011,,5.5,,19.1
4426464,KJ Wallace,DB,UCLA,Big Ten,,,,,,,,,,,,,,10,,1,,1,38,,0,9.0,49,,,,,,,
4426478,Colby Bowman,WR,Utah State,Mountain West,,,,,,,,,,31,,,,0,,0,7,0,0,,00,0,1,,,69,,,,9.9
4426481,Devonta Lee,WR,Louisiana Tech,Conference USA,,,,,,,,,,,,,,0,,0,,0,2,,0,0,2,,,,,,,
4426484,Marcus Major,RB,Minnesota,Big Ten,,,78,,,,,,,2540,,,,,,,20,,,,13,,,,,144352,,4.5,,7.2
4426491,Derick Hunter,DL,Memphis,American Athletic,,,,,,,,,,,,,,0,,1,,0,0,,0,0,0,,,,,,,
